,X1,X2,X3,X4,X5
2,,Dependent variable:,Dependent variable:,Dependent variable:,Dependent variable:
5,,-1,-2,-3,-4
7,(1880-1902),0.002*,0.002*,0.002*,0.002*
10,(1903-1928),0.003*,0.003*,0.003*,0.003*
13,(1929-1954),0.003*,0.003*,0.002*,0.004*
16,(1955-1979),0.002*,0.001*,0.001*,0.002*
19,(1980-2010),0.001*,0.001*,0.001*,0.002*
22,State Founded (last 4 years),,3.390*,3.511*,3.611*
25,Network Exposure: Culture (t-1),7.01,11.382,1.665,4.83
28,Network Exposure: Colonial,,,,0.983
31,Network Exposure: Trade (t-1),6.783*,6.564*,5.297*,5.130*
34,Network Exposrue: Spatial Proximity,,,16.238*,19.872*
37,GDPpc 10k USD,0.911,0.925,0.909,0.906
40,Democratization,1.170*,1.146*,1.155*,1.138*
44,Observations,12162,12162,12162,12162
45,Log Likelihood,-649.725,-639.206,-636.391,-635.429
46,Akaike Inf. Crit.,1317.45,1298.413,1294.781,1294.858
48,Note:,+ p < 0.1; * p < 0.05; ** p < 0.01; *** p < 0.001,+ p < 0.1; * p < 0.05; ** p < 0.01; *** p < 0.001,+ p < 0.1; * p < 0.05; ** p < 0.01; *** p < 0.001,+ p < 0.1; * p < 0.05; ** p < 0.01; *** p < 0.001
